description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds,date,country,city
clear sky,286.85,285.5,285.55,290.32,1029,47,10000.0,1.03,210,0,2023-07-17 19:47:31 UTC,ZA,Pretoria
clear sky,286.85,285.5,285.55,290.32,1029,47,10000.0,1.03,210,0,2023-07-17 19:56:06 UTC,ZA,Pretoria
clear sky,287.14,285.87,284.84,289.08,1026,49,10000.0,0.3,285,0,2023-07-17 20:03:22 UTC,ZA,Pretoria
clear sky,287.14,285.87,284.84,289.08,1026,49,10000.0,0.3,285,0,2023-07-17 20:03:22 UTC,ZA,Pretoria
clear sky,287.46,285.89,284.84,289.08,1026,36,10000.0,0.3,285,0,2023-07-17 20:15:09 UTC,ZA,Pretoria
clear sky,285.39,283.92,282.55,289.64,1029,48,10000.0,0.51,170,0,2023-07-17 20:36:36 UTC,ZA,Pretoria
clear sky,285.37,283.9,282.55,289.08,1029,48,10000.0,0.51,170,0,2023-07-17 20:47:34 UTC,ZA,Pretoria
clear sky,285.01,283.5,282.55,289.08,1029,48,10000.0,0.51,170,0,2023-07-17 20:57:34 UTC,ZA,Pretoria
clear sky,286.89,285.31,283.84,289.08,1027,38,10000.0,0.29,219,0,2023-07-17 21:06:16 UTC,ZA,Pretoria
clear sky,283.87,282.36,280.55,289.08,1029,52,10000.0,1.54,130,0,2023-07-17 21:13:42 UTC,ZA,Pretoria
clear sky,283.84,282.32,280.55,288.52,1029,52,10000.0,1.54,130,0,2023-07-17 21:24:03 UTC,ZA,Pretoria
clear sky,283.59,282.05,280.55,287.97,1029,52,10000.0,1.54,130,0,2023-07-17 21:37:10 UTC,ZA,Pretoria
clear sky,283.35,281.81,280.55,287.97,1029,53,10000.0,1.54,130,0,2023-07-17 21:54:19 UTC,ZA,Pretoria
clear sky,283.35,281.81,280.55,287.97,1029,53,10000.0,1.54,130,0,2023-07-17 21:54:19 UTC,ZA,Pretoria
clear sky,284.57,282.86,280.84,285.75,1027,42,10000.0,1.03,151,0,2023-07-18 00:07:09 UTC,ZA,Pretoria
clear sky,282.61,282.61,279.09,284.21,1028,55,10000.0,0.45,225,0,2023-07-17 23:57:26 UTC,ZA,Johannesburg
clear sky,284.14,282.39,280.25,286.37,1027,42,10000.0,0.56,166,0,2023-07-18 00:03:36 UTC,ZA,Centurion
clear sky,284.57,282.86,280.84,285.75,1027,42,10000.0,1.03,151,0,2023-07-18 00:07:09 UTC,ZA,Pretoria
clear sky,282.61,282.61,279.09,284.21,1028,55,10000.0,0.45,225,0,2023-07-17 23:57:26 UTC,ZA,Johannesburg
clear sky,284.14,282.39,280.25,286.37,1027,42,10000.0,0.56,166,0,2023-07-18 00:03:36 UTC,ZA,Centurion
