aqi,no,no2,o3,so2,pm2_5,pm10,nh3,date,lat,lon,city
5,5.53,40.78,100.14,87.74,90.63,120.53,14.31,2023-07-19 15:51:25 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 15:51:26 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 15:51:27 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,3.24,30.16,117.3,51.02,59.22,85.98,7.41,2023-07-19 15:51:28 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.66,4.76,85.12,14.54,25.72,34.1,2.57,2023-07-19 16:01:29 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
5,5.53,40.78,100.14,87.74,90.63,120.53,14.31,2023-07-19 16:01:29 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 16:01:30 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 16:01:31 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,3.24,30.16,117.3,51.02,59.22,85.98,7.41,2023-07-19 16:01:32 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.66,4.76,85.12,14.54,25.72,34.1,2.57,2023-07-19 16:11:33 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
5,5.53,40.78,100.14,87.74,90.63,120.53,14.31,2023-07-19 16:11:34 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 16:11:35 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 16:11:37 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,3.24,30.16,117.3,51.02,59.22,85.98,7.41,2023-07-19 16:11:38 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.66,4.76,85.12,14.54,25.72,34.1,2.57,2023-07-19 16:21:39 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
5,5.53,40.78,100.14,87.74,90.63,120.53,14.31,2023-07-19 16:21:40 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 16:21:40 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 16:21:41 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,3.24,30.16,117.3,51.02,59.22,85.98,7.41,2023-07-19 16:21:42 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.48,7.88,70.1,18.6,30.97,39.94,3.26,2023-07-19 16:31:43 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
5,6.09,71.29,53.64,119.21,118.25,157.81,19.51,2023-07-19 16:31:44 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.75,13.54,70.1,15.5,28.57,43.4,3.71,2023-07-19 16:31:45 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
